id|lon|lat|img|type
GUID_CAM_66|-3.6726|42.3258|http://infocar.dgt.es/etraffic/data/camaras/66.jpg|DGT
GUID_CAM_67|-0.87853|41.67952|http://infocar.dgt.es/etraffic/data/camaras/67.jpg|DGT
GUID_CAM_68|-0.87672|41.6806|http://infocar.dgt.es/etraffic/data/camaras/68.jpg|DGT
GUID_CAM_69|-0.85356|41.67882|http://infocar.dgt.es/etraffic/data/camaras/69.jpg|DGT
GUID_CAM_70|-0.83551|41.67582|http://infocar.dgt.es/etraffic/data/camaras/70.jpg|DGT
GUID_CAM_71|-0.78162|41.6584|http://infocar.dgt.es/etraffic/data/camaras/71.jpg|DGT
GUID_CAM_72|-3.6261|42.333|http://infocar.dgt.es/etraffic/data/camaras/72.jpg|DGT
GUID_CAM_73|-0.95072|41.67298|http://infocar.dgt.es/etraffic/data/camaras/73.jpg|DGT
GUID_CAM_74|-0.96962|41.68476|http://infocar.dgt.es/etraffic/data/camaras/74.jpg|DGT
GUID_CAM_75|-0.99167|41.69667|http://infocar.dgt.es/etraffic/data/camaras/75.jpg|DGT
GUID_CAM_77|-1.04755|41.72882|http://infocar.dgt.es/etraffic/data/camaras/77.jpg|DGT
GUID_CAM_78|-3.5899|42.3792|http://infocar.dgt.es/etraffic/data/camaras/78.jpg|DGT
GUID_CAM_79|-3.4906|42.4433|http://infocar.dgt.es/etraffic/data/camaras/79.jpg|DGT
GUID_CAM_80|-0.87028|41.69278|http://infocar.dgt.es/etraffic/data/camaras/80.jpg|DGT
GUID_CAM_81|-0.85045|41.72961|http://infocar.dgt.es/etraffic/data/camaras/81.jpg|DGT
GUID_CAM_82|-0.83366|41.761|http://infocar.dgt.es/etraffic/data/camaras/82.jpg|DGT
GUID_CAM_83|-0.77603|41.88014|http://infocar.dgt.es/etraffic/data/camaras/83.jpg|DGT
GUID_CAM_84|-3.7533|42.3034|http://infocar.dgt.es/etraffic/data/camaras/84.jpg|DGT
GUID_CAM_85|-0.66717|41.99374|http://infocar.dgt.es/etraffic/data/camaras/85.jpg|DGT
GUID_CAM_87|-0.42187|42.15985|http://infocar.dgt.es/etraffic/data/camaras/87.jpg|DGT
GUID_CAM_88|-0.39239|42.35562|http://infocar.dgt.es/etraffic/data/camaras/88.jpg|DGT
GUID_CAM_89|-3.8354|42.2997|http://infocar.dgt.es/etraffic/data/camaras/89.jpg|DGT
GUID_CAM_90|-0.37048|42.53477|http://infocar.dgt.es/etraffic/data/camaras/90.jpg|DGT
GUID_CAM_91|0.13611|42.02139|http://infocar.dgt.es/etraffic/data/camaras/91.jpg|DGT
GUID_CAM_92|-0.91272|41.62273|http://infocar.dgt.es/etraffic/data/camaras/92.jpg|DGT
GUID_CAM_93|-0.93992|41.59595|http://infocar.dgt.es/etraffic/data/camaras/93.jpg|DGT
GUID_CAM_97|-2.1557388|39.487755|http://infocar.dgt.es/etraffic/data/camaras/97.jpg|DGT
GUID_CAM_98|-1.9012778|39.53493|http://infocar.dgt.es/etraffic/data/camaras/98.jpg|DGT
GUID_CAM_99|-1.6740917|39.50993|http://infocar.dgt.es/etraffic/data/camaras/99.jpg|DGT
GUID_CAM_100|-1.5667111|39.529404|http://infocar.dgt.es/etraffic/data/camaras/100.jpg|DGT
GUID_CAM_101|-1.520225|39.54305|http://infocar.dgt.es/etraffic/data/camaras/101.jpg|DGT
GUID_CAM_102|-1.4965667|39.548958|http://infocar.dgt.es/etraffic/data/camaras/102.jpg|DGT
GUID_CAM_103|-1.4324056|39.527874|http://infocar.dgt.es/etraffic/data/camaras/103.jpg|DGT
GUID_CAM_104|-1.1912055|39.55529|http://infocar.dgt.es/etraffic/data/camaras/104.jpg|DGT
GUID_CAM_106|-1.0614083|39.48403|http://infocar.dgt.es/etraffic/data/camaras/106.jpg|DGT
GUID_CAM_107|-1.0135528|39.471546|http://infocar.dgt.es/etraffic/data/camaras/107.jpg|DGT
GUID_CAM_109|-0.7998|39.428886|http://infocar.dgt.es/etraffic/data/camaras/109.jpg|DGT
GUID_CAM_110|-0.7321417|39.452145|http://infocar.dgt.es/etraffic/data/camaras/110.jpg|DGT
GUID_CAM_111|-0.645675|39.473362|http://infocar.dgt.es/etraffic/data/camaras/111.jpg|DGT
GUID_CAM_113|-0.5318278|39.4713|http://infocar.dgt.es/etraffic/data/camaras/113.jpg|DGT
GUID_CAM_115|-0.45796388|39.48198|http://infocar.dgt.es/etraffic/data/camaras/115.jpg|DGT
GUID_CAM_116|-0.42516|39.47039|http://infocar.dgt.es/etraffic/data/camaras/116.jpg|DGT
GUID_CAM_123|-2.1877666|39.22581|http://infocar.dgt.es/etraffic/data/camaras/123.jpg|DGT
GUID_CAM_125|-0.93918335|38.731735|http://infocar.dgt.es/etraffic/data/camaras/125.jpg|DGT
GUID_CAM_126|-0.8662028|38.645485|http://infocar.dgt.es/etraffic/data/camaras/126.jpg|DGT
GUID_CAM_127|-0.77844447|38.49053|http://infocar.dgt.es/etraffic/data/camaras/127.jpg|DGT
GUID_CAM_128|-0.74524724|38.392284|http://infocar.dgt.es/etraffic/data/camaras/128.jpg|DGT
GUID_CAM_129|-0.66868055|38.351498|http://infocar.dgt.es/etraffic/data/camaras/129.jpg|DGT
GUID_CAM_130|-0.564225|38.34485|http://infocar.dgt.es/etraffic/data/camaras/130.jpg|DGT
GUID_CAM_131|-0.8923972|38.826664|http://infocar.dgt.es/etraffic/data/camaras/131.jpg|DGT
GUID_CAM_132|-0.6439389|38.94301|http://infocar.dgt.es/etraffic/data/camaras/132.jpg|DGT
GUID_CAM_133|-0.6008889|38.97912|http://infocar.dgt.es/etraffic/data/camaras/133.jpg|DGT
GUID_CAM_134|-0.58644724|38.988956|http://infocar.dgt.es/etraffic/data/camaras/134.jpg|DGT
GUID_CAM_139|-0.45343888|39.53984|http://infocar.dgt.es/etraffic/data/camaras/139.jpg|DGT
GUID_CAM_141|-0.5093222|39.50829|http://infocar.dgt.es/etraffic/data/camaras/141.jpg|DGT
GUID_CAM_143|-0.53665|39.43598|http://infocar.dgt.es/etraffic/data/camaras/143.jpg|DGT
GUID_CAM_144|-0.5093|39.4171|http://infocar.dgt.es/etraffic/data/camaras/144.jpg|DGT
GUID_CAM_145|-0.47769445|39.38685|http://infocar.dgt.es/etraffic/data/camaras/145.jpg|DGT
GUID_CAM_146|-0.45416668|39.37122|http://infocar.dgt.es/etraffic/data/camaras/146.jpg|DGT
GUID_CAM_148|-0.7242472|38.28465|http://infocar.dgt.es/etraffic/data/camaras/148.jpg|DGT
GUID_CAM_149|-0.7628861|38.254494|http://infocar.dgt.es/etraffic/data/camaras/149.jpg|DGT
GUID_CAM_150|-0.8185028|38.21669|http://infocar.dgt.es/etraffic/data/camaras/150.jpg|DGT
GUID_CAM_151|-0.85985553|38.175594|http://infocar.dgt.es/etraffic/data/camaras/151.jpg|DGT
GUID_CAM_152|-0.91614723|38.15214|http://infocar.dgt.es/etraffic/data/camaras/152.jpg|DGT
GUID_CAM_153|-0.9670889|38.122784|http://infocar.dgt.es/etraffic/data/camaras/153.jpg|DGT
GUID_CAM_158|-0.5446111|38.339863|http://infocar.dgt.es/etraffic/data/camaras/158.jpg|DGT
GUID_CAM_159|-0.5766639|38.306896|http://infocar.dgt.es/etraffic/data/camaras/159.jpg|DGT
GUID_CAM_167|-0.34130555|39.4287|http://infocar.dgt.es/etraffic/data/camaras/167.jpg|DGT
GUID_CAM_168|-0.34181666|39.426582|http://infocar.dgt.es/etraffic/data/camaras/168.jpg|DGT
GUID_CAM_169|-0.33716112|39.407745|http://infocar.dgt.es/etraffic/data/camaras/169.jpg|DGT
GUID_CAM_170|-0.33471945|39.389996|http://infocar.dgt.es/etraffic/data/camaras/170.jpg|DGT
GUID_CAM_171|-0.33154443|39.37653|http://infocar.dgt.es/etraffic/data/camaras/171.jpg|DGT
GUID_CAM_174|-0.4949611|39.193737|http://infocar.dgt.es/etraffic/data/camaras/174.jpg|DGT
GUID_CAM_177|-0.29722777|39.551666|http://infocar.dgt.es/etraffic/data/camaras/177.jpg|DGT
GUID_CAM_179|-0.2785|39.66362|http://infocar.dgt.es/etraffic/data/camaras/179.jpg|DGT
GUID_CAM_180|-0.35750556|39.434544|http://infocar.dgt.es/etraffic/data/camaras/180.jpg|DGT
GUID_CAM_182|-0.38944444|39.43827|http://infocar.dgt.es/etraffic/data/camaras/182.jpg|DGT
GUID_CAM_183|-0.396525|39.43802|http://infocar.dgt.es/etraffic/data/camaras/183.jpg|DGT
GUID_CAM_184|-0.40893334|39.45262|http://infocar.dgt.es/etraffic/data/camaras/184.jpg|DGT
GUID_CAM_185|-0.428725|39.479733|http://infocar.dgt.es/etraffic/data/camaras/185.jpg|DGT
GUID_CAM_186|-0.43405|39.48727|http://infocar.dgt.es/etraffic/data/camaras/186.jpg|DGT
GUID_CAM_187|-0.4607472|39.5064|http://infocar.dgt.es/etraffic/data/camaras/187.jpg|DGT
GUID_CAM_188|-0.47700557|39.513367|http://infocar.dgt.es/etraffic/data/camaras/188.jpg|DGT
GUID_CAM_189|-0.42906666|39.348984|http://infocar.dgt.es/etraffic/data/camaras/189.jpg|DGT
GUID_CAM_190|-0.4260722|39.36448|http://infocar.dgt.es/etraffic/data/camaras/190.jpg|DGT
GUID_CAM_191|-0.39559445|39.38743|http://infocar.dgt.es/etraffic/data/camaras/191.jpg|DGT
GUID_CAM_195|-5.18051|36.4144|http://infocar.dgt.es/etraffic/data/camaras/195.jpg|DGT
GUID_CAM_196|-4.981431|36.485092|http://infocar.dgt.es/etraffic/data/camaras/196.jpg|DGT
GUID_CAM_197|-4.95677|36.489|http://infocar.dgt.es/etraffic/data/camaras/197.jpg|DGT
GUID_CAM_198|-4.95201|36.4929|http://infocar.dgt.es/etraffic/data/camaras/198.jpg|DGT
GUID_CAM_199|-4.86326|36.5121|http://infocar.dgt.es/etraffic/data/camaras/199.jpg|DGT
GUID_CAM_200|-4.85604|36.5079|http://infocar.dgt.es/etraffic/data/camaras/200.jpg|DGT
GUID_CAM_201|-4.84517|36.5053|http://infocar.dgt.es/etraffic/data/camaras/201.jpg|DGT
GUID_CAM_202|-4.81055|36.504|http://infocar.dgt.es/etraffic/data/camaras/202.jpg|DGT
GUID_CAM_203|-4.72973|36.4885|http://infocar.dgt.es/etraffic/data/camaras/203.jpg|DGT
GUID_CAM_204|-4.71195|36.4895|http://infocar.dgt.es/etraffic/data/camaras/204.jpg|DGT
GUID_CAM_205|-4.67811|36.5064|http://infocar.dgt.es/etraffic/data/camaras/205.jpg|DGT
GUID_CAM_206|-5.15079|36.4354|http://infocar.dgt.es/etraffic/data/camaras/206.jpg|DGT
GUID_CAM_207|-4.67037|36.5042|http://infocar.dgt.es/etraffic/data/camaras/207.jpg|DGT
GUID_CAM_208|-4.65469|36.5061|http://infocar.dgt.es/etraffic/data/camaras/208.jpg|DGT
GUID_CAM_209|-4.64394|36.5068|http://infocar.dgt.es/etraffic/data/camaras/209.jpg|DGT
GUID_CAM_210|-4.6372|36.5085|http://infocar.dgt.es/etraffic/data/camaras/210.jpg|DGT
GUID_CAM_211|-4.63268|36.5342|http://infocar.dgt.es/etraffic/data/camaras/211.jpg|DGT
GUID_CAM_212|-4.63214|36.5468|http://infocar.dgt.es/etraffic/data/camaras/212.jpg|DGT
GUID_CAM_213|-4.62762|36.551|http://infocar.dgt.es/etraffic/data/camaras/213.jpg|DGT
GUID_CAM_214|-4.61304|36.5774|http://infocar.dgt.es/etraffic/data/camaras/214.jpg|DGT
GUID_CAM_215|-4.54809|36.6056|http://infocar.dgt.es/etraffic/data/camaras/215.jpg|DGT
GUID_CAM_216|-5.14635|36.4356|http://infocar.dgt.es/etraffic/data/camaras/216.jpg|DGT
GUID_CAM_217|-4.51615|36.6248|http://infocar.dgt.es/etraffic/data/camaras/217.jpg|DGT
GUID_CAM_218|-4.50228|36.6435|http://infocar.dgt.es/etraffic/data/camaras/218.jpg|DGT
GUID_CAM_219|-4.49334|36.6437|http://infocar.dgt.es/etraffic/data/camaras/219.jpg|DGT
GUID_CAM_220|-4.48575|36.6488|http://infocar.dgt.es/etraffic/data/camaras/220.jpg|DGT
