id_station;date;value;value_max
RaHome_14972;2017-06-22 20:11:00;13.0;12.0
RaHome_14983;2017-06-22 14:55:55;13.0;13.0
RaHome_14992;2017-06-22 20:15:43;10.0;11.0
RaHome_15066;2017-06-22 20:31:59;12.0;11.0
RaHome_15122;2017-06-22 20:19:20;12.0;14.0
RaHome_15158;2017-06-22 20:27:05;12.0;13.0
RaHome_15181;2017-06-22 20:13:36;10.0;8.0
RaHome_15185;2017-06-22 20:30:04;14.0;12.0
RaHome_15201;2017-06-22 17:44:52;8.0;10.0
RaHome_15215;2017-06-22 20:09:56;8.0;10.0
RaHome_15227;2017-06-22 14:22:37;8.0;8.0
RaHome_15229;2017-06-22 20:11:28;12.0;13.0
RaHome_15283;2017-06-22 19:47:21;12.0;12.0
RaHome_15516;2017-06-22 20:10:11;8.0;12.0
RaHome_15554;2017-06-22 17:22:59;8.0;8.0
RaHome_15617;2017-06-22 20:18:50;13.0;13.0
RaHome_15620;2017-06-22 20:30:17;11.0;13.0
RaHome_15662;2017-06-22 20:10:52;9.0;10.0
RaHome_15676;2017-06-22 20:12:44;9.0;11.0
RaHome_15705;2017-06-22 20:28:21;10.0;12.0
RaHome_15711;2017-06-22 20:12:43;10.0;10.0
RaHome_15753;2017-06-22 20:21:23;13.0;11.0
RaHome_15834;2017-06-22 20:19:35;14.0;15.0
RaHome_15858;2017-06-22 20:19:41;10.0;11.0
RaHome_15862;2017-06-22 18:47:55;11.0;12.0
RaHome_15877;2017-06-22 05:44:25;12.0;11.0
RaHome_15895;2017-06-22 20:09:34;16.0;18.0
RaHome_15909;2017-06-22 20:20:18;10.0;9.0
RaHome_15923;2017-06-22 20:26:02;11.0;11.0
RaHome_16031;2017-06-22 20:07:52;12.0;12.0
RaHome_16187;2017-06-22 20:20:59;18.0;15.0
RaHome_16397;2017-06-22 20:14:59;9.0;10.0
RaHome_16486;2017-06-22 20:01:49;8.0;8.0
RaHome_16555;2017-06-22 20:21:49;12.0;13.0
RaHome_16567;2017-06-22 20:31:30;11.0;12.0
RaHome_16733;2017-06-22 20:29:15;12.0;11.0
RaHome_16753;2017-06-22 20:13:54;10.0;9.0
RaHome_16905;2017-06-22 20:09:48;8.0;9.0
RaHome_16971;2017-06-22 20:31:55;16.0;13.0
RaHome_17058;2017-06-22 20:26:14;12.0;12.0
RaHome_17077;2017-06-22 20:28:28;9.0;9.0
RaHome_18268;2017-06-22 20:31:18;11.0;12.0
RaHome_18373;2017-06-22 20:24:00;11.0;12.0
RaHome_18433;2017-06-22 20:30:16;14.0;13.0
RaHome_18469;2017-06-22 20:12:26;7.0;8.0
RaHome_18491;2017-06-22 20:22:27;16.0;16.0
RaHome_18512;2017-06-22 20:24:44;20.0;19.0
RaHome_18527;2017-06-22 20:26:52;14.0;13.0
RaHome_18554;2017-06-22 11:09:24;13.0;11.0
RaHome_18584;2017-06-22 20:18:26;14.0;12.0
RaHome_18617;2017-06-22 20:22:24;9.0;9.0
RaHome_18648;2017-06-22 20:14:59;7.0;9.0
RaHome_19311;2017-06-22 20:18:51;11.0;9.0
RaHome_19372;2017-06-22 20:22:57;9.0;10.0
RaHome_19435;2017-06-22 20:13:28;10.0;10.0
RaHome_19613;2017-06-22 20:16:12;8.0;9.0
RaHome_19659;2017-06-22 20:22:02;11.0;9.0
RaHome_19712;2017-06-22 20:29:37;10.0;9.0
RaHome_19815;2017-06-22 20:19:39;13.0;13.0
RaHome_19843;2017-06-22 20:18:51;18.0;18.0
RaHome_19855;2017-06-22 20:29:04;15.0;12.0
RaHome_19883;2017-06-22 20:14:14;13.0;12.0
RaHome_20001;2017-06-22 20:30:55;13.0;12.0
RaHome_20166;2017-06-22 20:13:55;6.0;7.0
RaHome_20601;2017-06-22 20:10:00;19.0;19.0
RaHome_20647;2017-06-22 19:35:24;11.0;9.0
RaHome_20726;2017-06-22 20:24:25;10.0;12.0
RaHome_20730;2017-06-22 20:27:10;10.0;10.0
RaHome_20753;2017-06-22 18:05:03;12.0;11.0
RaHome_20847;2017-06-22 20:19:49;10.0;11.0
RaHome_21095;2017-06-22 20:27:45;11.0;11.0
RaHome_21178;2017-06-22 20:12:44;9.0;9.0
RaHome_21463;2017-06-22 20:15:41;10.0;10.0
RaHome_21492;2017-06-22 20:29:29;13.0;14.0
RaHome_21842;2017-06-22 20:21:49;8.0;11.0
RaHome_22337;2017-06-22 20:12:46;13.0;15.0
RaHome_22674;2017-06-22 20:15:49;10.0;11.0
RaHome_22728;2017-06-22 20:18:01;4.0;9.0
RaHome_22801;2017-06-22 20:24:59;10.0;11.0
RaHome_23065;2017-06-22 20:26:06;10.0;12.0
RaHome_23161;2017-06-22 20:17:37;15.0;12.0
RaHome_23303;2017-06-22 20:10:51;13.0;14.0
RaHome_23420;2017-06-22 20:24:28;13.0;14.0
RaHome_23506;2017-06-22 20:23:16;11.0;11.0
RaHome_23830;2017-06-22 20:15:16;14.0;13.0
RaHome_24172;2017-06-22 20:30:17;18.0;16.0
RaHome_24801;2017-06-22 18:35:14;16.0;15.0
RaHome_24962;2017-06-22 19:21:06;14.0;15.0
RaHome_24988;2017-06-22 20:31:34;13.0;12.0
RaHome_25201;2017-06-22 20:25:38;16.0;16.0
RaHome_25418;2017-06-22 20:27:46;8.0;8.0
RaHome_25585;2017-06-22 20:22:14;13.0;11.0
RaHome_25618;2017-06-22 20:19:28;16.0;16.0
RaHome_25706;2017-06-22 18:42:01;10.0;9.0
RaHome_26192;2017-06-22 20:26:22;12.0;12.0
RaHome_26287;2017-06-22 20:29:12;11.0;9.0
RaHome_26326;2017-06-22 20:21:14;11.0;11.0
RaHome_26383;2017-06-22 20:25:21;9.0;8.0
