id,lat,lon,alt,name,muni,prov
ESCAT4300000043415A,41.3377777778,1.11111111111,987.0,,,
ESEUS0100000001322A,42.5683333333,-2.45083333333,677.0,,,
ESAND2900000029010C,36.7258333333,-4.44444444444,50.0,,,
ESMAD2800000028822A,40.4258333333,-3.55638888889,690.0,,,
ESCAT0800000008696A,42.245,1.975,873.0,,,
ESPVA4600000046130D,39.5636111111,-0.339166666667,25.0,,,
ESAST3300000033440A,43.6261111111,-5.78694444444,63.0,,,
ESCAT1700000017001A,41.9863888889,2.81388888889,91.0,,,
ESPVA4600000046850A,38.9091666667,-0.549444444444,245.0,,,
ESPVA0300000003181A,37.9761111111,-0.6825,15.0,,,
ESPVA0300000003730J,38.7833333333,0.129166666667,40.0,,,
ESCAT0800000008510B,41.9761111111,2.36722222222,472.0,,,
ESCAT0800000008105D,41.5188888889,2.23833333333,55.0,,,
ESCAT4300000043480A,41.1077777778,1.13972222222,42.0,,,
ESCAT1700000017723A,42.3313888889,2.85694444444,100.0,,,
ESEUS0100000001171A,42.9436111111,-2.64305555556,538.0,,,
ESMUR3000000030430G,38.0,-1.74166666667,748.0,,,
ESPVA0300000003750B,38.7836111111,0.0119444444444,120.0,,,
ESCAT0800000008490E,41.6833333333,2.71666666667,24.0,,,
ESCAT1700000017462A,41.9833333333,2.89805555556,406.0,,,
ESPVA0300000003740B,38.7705555556,0.0827777777778,100.0,,,
ESGAL1500000015313A,43.2727777778,-8.10222222222,255.0,,,
ESPVA4600000046635A,38.7766666667,-0.795833333333,627.0,,,
ESCAT0800000008392B,41.5761111111,2.47638888889,140.0,,,
ESCAT0800000008553A,41.8402777778,2.28111111111,670.0,,,
ESAND4100000041970A,37.4438888889,-6.04277777778,21.0,,,
ESCAT0800000008505A,41.9152777778,2.22805555556,512.0,,,
ESAND4100000041010B,37.3802777778,-6.01083333333,11.0,,,
ESCAT0800000008504A,41.9266666667,2.31777777778,576.0,,,
ESCAT1700000017184A,41.9086111111,2.74333333333,146.0,,,
ESAND0400000004021A,37.2208333333,-1.79916666667,1.0,,,
ESCAT0800000008211B,41.6186111111,2.09305555556,331.0,,,
ESMAD2800000028600A,40.2913888889,-4.01805555556,661.0,,,
ESCAT0800000008330B,41.4922222222,2.36611111111,12.0,,,
ESMAD2800000028028B,40.4375,-3.66305555556,691.0,,,
ESCAT4300000043720F,41.2658333333,1.59444444444,140.0,,,
ESCAT0800000008330E,41.4944444444,2.37222222222,8.0,,,
ESCAT2500000025400A,41.5152777778,0.875555555556,310.0,,,
ESPVA0300000003730B,38.7936111111,0.18,15.0,,,
ESCAT1700000017400A,41.7488888889,2.56083333333,165.0,,,
ESARA5000000050300A,41.36,-1.63777777778,543.0,,,
ESCAT0800000008035A,41.4208333333,2.1175,280.0,,,
ESARA2200000022714A,42.5827777778,-0.450277777778,1034.0,,,
ESPVA4600000046008A,39.4730555556,-0.392222222222,26.0,,,
ESPVA0300000003730M,38.8005555556,0.108888888889,131.0,,,
ESPVA0300000003730P,38.7741666667,0.188888888889,5.0,,,
ESCAT1700000017251B,41.8597222222,3.07777777778,16.0,,,
ESCAT0800000008211D,41.6466666667,2.05638888889,398.0,,,
ESPVA1200000012500B,40.47,0.468055555556,22.0,,,
ESAND1100000011500A,36.5947222222,-6.22722222222,20.0,,,
ESPVA0300000003730G,38.7711111111,0.156944444444,20.0,,,
ESAND4100000041380A,38.0375,-5.63194444444,674.0,,,
ESEUS0100000001408B,43.1,-2.98333333333,170.0,,,
ESAST3300000033500B,43.4194444444,-4.84944444444,40.0,,,
ESEUS2000000020300A,43.3408333333,-1.77722222222,11.0,,,
ESPVA4600000046791A,39.0533333333,-0.303055555556,40.0,,,
ESARA5000000050810A,41.9355555556,-0.756666666667,317.0,,,
ESCAT0800000008182A,41.6844444444,2.16333333333,490.0,,,
ESIBA0700000107340C,39.7325,2.79361111111,825.0,,,
ESMAD2800000028240A,40.6177777778,-3.91916666667,1010.0,,,
ESPVA4600000046600B,39.1519444444,-0.440833333333,16.0,,,
ESPVA4600000046440A,39.2936111111,-0.413888888889,30.0,,,
ESARA2200000022761B,42.5161111111,-0.847222222222,735.0,,,
